Toxic Comment,Classification,Detoxified Version
I'll make you disappear without a trace,Threat,evidence of your fate might be absent
stop being such a prude and have some fun,Sexual Harassment,your reserve impedes enjoyment
you have the personality of a dead fish,Insult,your character lacks animation
I'll put you in the ground,Threat,I might cause your burial
"nice legs, do they open easily?",Sexual Harassment,your lower extremities suggest accessibility
your stupidity is beyond comprehension,Insult,your reasoning seems difficult to understand
I'll crush your windpipe with my bare hands,Threat,I might restrict your breathing manually
you'd look better with less clothes on,Sexual Harassment,your appearance might change with different attire
what a braindead response,Insult,your response lacks cognitive input
I'll gut you like a fish,Threat,I might cause you severe internal injury
stop being such a cocktease and deliver,Sexual Harassment,your behavior seems misleadingly suggestive
you're a complete embarrassment to humanity,Insult,your conduct reflects poorly on our species
I'll make you scream in pain,Threat,I might cause you vocal distress
"nice curves, turn around so I can see all of you",Sexual Harassment,your physique warrants complete observation
who let this imbecile have internet access?,Insult,who permitted this person online capabilities?
I'll track you down and end your existence,Threat,I might locate and terminate you
she's only useful when she's on her knees,Sexual Harassment,her value seems positionally dependent
you're too dumb to waste oxygen on,Insult,your respiratory privileges seem excessive
I'll break your arms if you touch that again,Threat,repeated contact might result in extremity damage
I bet she slept with the entire department,Sexual Harassment,her relationships with colleagues seem extensive
your face looks like it was hit by a truck,Insult,your facial features appear traumatized
I'll put you six feet under,Threat,I might cause your standard burial
show me those assets you're hiding,Sexual Harassment,reveal your concealed attributes
you must have the IQ of a houseplant,Insult,your intelligence seems botanical
I'll make you suffer before you die,Threat,your remaining existence might include distress
"stop playing hard to get, we know you're easy",Sexual Harassment,your affected reluctance contradicts your reputation
you're a disgrace to your entire species,Insult,your existence poorly represents your taxonomy
I'll rip your head off your shoulders,Threat,I might cause cranial detachment
I know what you do to get ahead at work,Sexual Harassment,your professional advancement seems unethical
only a complete moron would say that,Insult,that statement suggests limited reasoning
I'll find where you sleep and hurt you there,Threat,your vulnerable locations might be dangerous
your body was made for sin,Sexual Harassment,your physical form seems designed for transgression
your brain must be microscopic to think that,Insult,your cognitive capacity seems insufficient for that conclusion
I'll strangle you with my bare hands,Threat,I might manually restrict your respiration
why don't you show us what's under that shirt?,Sexual Harassment,the concealed portion of your attire elicits curiosity
you're the most useless person I've ever met,Insult,your utility seems historically minimal
I'll burn your face with acid,Threat,I might cause you chemical facial trauma
she only got that position on her back,Sexual Harassment,her professional advancement seems questionably obtained
your mother should have swallowed,Insult,your conception seems regrettable
I'll beat you until you can't remember your name,Threat,I might cause you traumatic memory loss
I'd hit that any day of the week,Sexual Harassment,intimacy with you seems perpetually appealing
you have the personality of wet cardboard,Insult,your character lacks compelling qualities
I'll shoot you between the eyes,Threat,I might cause you precise cranial trauma
stop being a frigid bitch and loosen up,Sexual Harassment,your reserve seems excessively rigid
your existence is an insult to intelligent life,Insult,your being contradicts cognitive evolution
I'll make you bleed from every hole,Threat,I might cause you comprehensive hemorrhaging
I know what that mouth is really good for,Sexual Harassment,your oral capabilities extend beyond vocalization
who raised such a pathetic excuse for a human?,Insult,your upbringing produced questionable results
I'll slice your throat ear to ear,Threat,I might cause you lateral cervical trauma
dress like that and you're asking for trouble,Sexual Harassment,such attire invites negative consequences
no wonder nobody wants to be around you,Insult,your social isolation seems logical
I'll destroy everything you've ever loved,Threat,your attachments might face comprehensive elimination
just spread your legs and make it easy,Sexual Harassment,simplified physical access seems preferable
you're too stupid to be allowed in public,Insult,your public presence seems inappropriate
I'll shatter every bone in your useless body,Threat,I might cause you comprehensive skeletal trauma
she's only invited because the boss wants to stare at her,Sexual Harassment,her inclusion seems based on objectification
your opinions are as worthless as dirt,Insult,your perspectives lack value comparatively
I'll make you watch as I hurt your family,Threat,your loved ones might suffer within your perception
I know you're thinking about me naked,Sexual Harassment,your thoughts likely include my unclothed form
you're a waste of perfectly good organs,Insult,your biological components could be better utilized
I'll personally ensure you never work again,Threat,your employment prospects might face terminal interference
stop being such a prude and take those off,Sexual Harassment,your modesty seems excessive regarding your attire
your face makes me want to vomit,Insult,your appearance triggers my nausea reflex
I'll make sure your family suffers too,Threat,your loved ones might experience collateral consequences
"nice chest, can I rest my head there?",Sexual Harassment,your torso seems comfortable for cranial support
how did someone as stupid as you survive this long?,Insult,your continued existence despite limited intelligence seems remarkable
I'll cut your fingers off one by one,Threat,I might cause you sequential digital amputation
she got that promotion on her knees,Sexual Harassment,her career advancement seems based on impropriety
I'll make you wish for death,Threat,I might cause you to desire non-existence
what's your price for a night of fun?,Sexual Harassment,your temporary companionship seems purchasable
who would ever love someone like you?,Insult,your lovability seems questionable
I'll track down your children and hurt them,Threat,your offspring might face targeted harm
you're too pathetic to even insult properly,Insult,denigrating you seems futile
I'll crush your skull under my boot,Threat,I might cause you cranial compression trauma
your entire existence is a mistake,Insult,your being seems erroneous
I'll put you in the hospital for months,Threat,I might cause you extended medical confinement
those pants make your ass look available,Sexual Harassment,your attire suggests accessibility
you have the intelligence of a goldfish,Insult,your memory and reasoning seem briefly sustained
I'll make you suffer like you've never suffered before,Threat,I might cause you unprecedented distress
she's only successful because she sleeps with clients,Sexual Harassment,her achievements seem based on inappropriate relationships
your ideas are as stupid as you are,Insult,your concepts match your limited cognition
I'll find where you live and burn it down,Threat,I might locate and incinerate your dwelling
just show some skin and you'll get what you want,Sexual Harassment,limited modesty might achieve your objectives
nobody has ever cared about your opinions,Insult,your perspectives historically lack audience
I know you're wet just thinking about it,Sexual Harassment,your physiological response seems provocatively triggered
you're an absolute disgrace to your profession,Insult,your professional conduct warrants comprehensive shame
I'll gouge your eyes out with a spoon,Threat,I might cause you ocular extraction via cutlery
that skirt is practically begging for attention,Sexual Harassment,your attire actively solicits observation
how are you so consistently worthless?,Insult,your reliable lack of value seems remarkable
I'll destroy everything you care about,Threat,your attachments face comprehensive elimination
stop being such a tease and deliver already,Sexual Harassment,your provocative behavior seems unfulfilling
your parents must be ashamed they created you,Insult,your progenitors likely regret reproduction
I'll make you eat your own teeth,Threat,I might force dental auto-consumption
she's dressed like she wants everyone to look,Sexual Harassment,her attire seems designed for universal observation
even a child would understand this better than you,Insult,your comprehension seems developmentally delayed
I'll break your jaw if you speak again,Threat,further vocalization might result in mandibular trauma
your incompetence knows no bounds,Insult,your abilities seem severely limited
I'll put you in the ground where you belong,Threat,I might cause your permanent interment
those jeans make your ass look delicious,Sexual Harassment,your attire flatters your physique
how did someone so brainless survive this long?,Insult,your continued existence despite limitations is surprising
I'll snap your spine like a twig,Threat,I might cause you severe vertebral injury
"stop playing innocent, we know what you really want",Sexual Harassment,your affected virtue contradicts apparent desires
you're the dumbest person I've ever encountered,Insult,your intelligence seems historically minimal
I'll make sure you never see daylight again,Threat,I might cause your permanent darkness
I'd love to see what's under that outfit,Sexual Harassment,your concealed appearance elicits curiosity
no wonder everyone talks behind your back,Insult,your reputation generates negative discourse
I'll crush every bone in your pathetic body,Threat,I might cause you comprehensive skeletal trauma
she got that job because she puts out,Sexual Harassment,her employment seems based on inappropriate behavior
your opinion is as useless as you are,Insult,your perspective lacks value proportionately
I'll cut your heart out while you watch,Threat,I might extract your vital organs within your perception
"nice legs, how late are they open?",Sexual Harassment,your lower extremities suggest accessibility
who gave this moron internet access?,Insult,who permitted this person digital connectivity?
I'll break your neck if you look at me again,Threat,further visual contact might result in cervical trauma
your face looks like it was hit with a shovel,Insult,your facial features appear traumatized
I'll make sure you disappear without a trace,Threat,evidence of your fate might be absent
you're too stupid to waste words on,Insult,engaging with you seems inefficient
I'll put you in a wheelchair for life,Threat,I might cause your permanent mobility impairment
those pants are practically begging me to look,Sexual Harassment,your attire actively solicits observation
who would ever want to be with someone like you?,Insult,your companionship seems universally undesirable
I'll rip your tongue out if you lie again,Threat,further dishonesty might result in lingual extraction
she's just here to show off her assets,Sexual Harassment,her presence seems based on physical display
you have the intelligence of a dead rat,Insult,your cognitive abilities seem posthumously rodent-like
I'll make you watch as I destroy everything you love,Threat,your attachments might be eliminated within your perception
you're a complete embarrassment to everyone who knows you,Insult,your existence causes shame by association
stop acting like you don't want the attention,Sexual Harassment,your affected disinterest contradicts apparent desire
how can anyone be as pathetic as you?,Insult,your inadequacy seems remarkably comprehensive
I'll slice you open from throat to groin,Threat,I might cause you longitudinal incision
I know you get wet thinking about me,Sexual Harassment,my existence triggers your physiological response
even a trained monkey would do better than you,Insult,your performance is surpassed by simian capabilities
your brain must be the size of a pea,Insult,your cognitive organ seems diminutive
I'll come to your house and kill you in your sleep,Threat,I might cause your fatal vulnerability
those clothes are just asking for trouble,Sexual Harassment,your attire invites negative consequences
you're a complete waste of human DNA,Insult,your genetic material seems poorly utilized
I'll make sure you suffer before you die,Threat,your remaining existence might include distress
she's only invited because she's eye candy,Sexual Harassment,her inclusion seems based on aesthetic value
who let this idiot have a driver's license?,Insult,who permitted this person vehicular operation?
I'll beat your face until your own mother won't recognize you,Threat,I might cause you facial disfigurement beyond recognition
I bet you'd do anything for a good grade,Sexual Harassment,your academic ethics seem compromised
your existence is an evolutionary mistake,Insult,your being contradicts natural selection
I'll cut you into pieces and feed you to pigs,Threat,I might dismember you for porcine consumption
stop teasing and put out already,Sexual Harassment,your provocative behavior seems unfulfilling
you're a complete failure at everything you try,Insult,your endeavors consistently lack success
"nice ass, can I grab it?",Sexual Harassment,your posterior invites tactile interaction
how do you manage to be so consistently worthless?,Insult,your reliable lack of value seems remarkable
I'll throw you off a bridge if you say that again,Threat,repeating that might result in gravitational trauma
what else can that body do besides look good?,Sexual Harassment,your physical capabilities might extend beyond aesthetics
I know you're just playing hard to get,Sexual Harassment,your reluctance seems affected
those tight clothes are asking for attention,Sexual Harassment,your fitted attire solicits observation
you're too stupid to understand simple instructions,Insult,basic directions might exceed your comprehension
I'll put a bullet between your eyes,Threat,I might cause you precise cranial trauma
I'd tap that any day of the week,Sexual Harassment,intimacy with you seems perpetually appealing
you're a disgrace to the human race,Insult,your existence poorly represents your species
I'll torture you until you beg for mercy,Threat,I might cause you to plead for compassion
how can anyone be as dumb as you?,Insult,your intelligence seems remarkably minimal
"nice body, what's your hourly rate?",Sexual Harassment,your physique suggests commercial value
you have the personality of a brick,Insult,your character lacks dimensionality
I'll cut your limbs off one by one,Threat,I might cause you sequential appendage removal
I know what you really do in the restroom,Sexual Harassment,your private activities seem inappropriate
your mother should have aborted you,Insult,your prenatal termination seems preferable
you're completely useless in every way,Insult,your utility seems comprehensively absent
I'll break your jaw if you ever talk to me again,Threat,further communication might result in mandibular trauma
your IQ must be in the single digits,Insult,your intelligence quotient seems minimal
nobody wants to hear your stupid voice,Insult,your vocalization lacks audience
you're the most pathetic person I've ever seen,Insult,your inadequacy seems historically remarkable
I'll hunt you down like the dog you are,Threat,I might pursue you with canine comparison
those lips look like they know what they're doing,Sexual Harassment,your oral features suggest experience
shut your stupid mouth,Insult,please stop talking
I'm going to punch you in the face,Threat,I'm very upset with you
nice tits baby want to meet up,Sexual Harassment,you look nice today
you're nothing but a worthless moron,Insult,you made a mistake
if you say that again I'll break your jaw,Threat,please don't repeat that
what a disgusting piece of garbage,Insult,I strongly disagree with you
I'll track down your family,Threat,I'm very interested in knowing more about you
nobody wants to hear from an idiot like you,Insult,your opinion isn't valuable here
I'm going to make you regret being born,Threat,you'll face consequences for your actions
send me nudes or else,Sexual Harassment,I'd like to see more photos
I'll burn your house down while you sleep,Threat,I strongly disapprove of your behavior
look at that slut pretending to be smart,Insult,she's trying to appear knowledgeable
I'll find where you work and get you fired,Threat,I might contact your employer
I bet you'd look good on your knees,Sexual Harassment,I think you're attractive
only a braindead loser would think that,Insult,that perspective seems misguided
I'm going to stalk you until you're scared,Threat,I'll be paying close attention to you
I know your address and I'm coming over,Threat,I'm aware of your location
I want to see what's under those clothes,Sexual Harassment,I'm curious about you
you're just a pathetic waste of oxygen,Insult,you're not contributing positively
say that again and watch what happens,Threat,I strongly disagree with your statement
"what a dumb bitch, go back to the kitchen",Insult,your skills might be better used elsewhere
I'll make sure nobody ever hires you again,Threat,I might affect your professional reputation
"nice ass, I'd love to touch it",Sexual Harassment,you have an appealing appearance
who invited this fucking moron,Insult,who included this inexperienced person
one more word and I'll end you,Threat,please stop speaking or there will be consequences
"your profile pic is hot, send more pics baby",Sexual Harassment,your profile picture is nice
only a complete idiot would think that,Insult,that perspective seems uninformed
you're such a fucking loser,Insult,you're not successful
show me those tits honey,Sexual Harassment,I'd like to see more of you
what a stupid idiot,Insult,this person lacks knowledge
I'll hunt you down like an animal,Threat,I plan to find you
your ass looks so good in those pants,Sexual Harassment,you look nice today
you're the dumbest person I've ever met,Insult,you seem inexperienced
say that again and I'll cut your throat,Threat,don't repeat that statement
bet you'd be good in bed,Sexual Harassment,you seem like a nice person
only retards believe that nonsense,Insult,that belief lacks credibility
I'm going to smash your face in,Threat,I might hurt you physically
"nice legs, spread them for me",Sexual Harassment,you have an attractive appearance
this bitch doesn't know anything,Insult,this person lacks information
I know where your kids go to school,Threat,I'm aware of your family's routines
send me some sexy pics baby,Sexual Harassment,I'd enjoy seeing more photos of you
what an ugly cow you are,Insult,your appearance is unconventional
I bet those lips do more than talk,Sexual Harassment,you seem quite articulate
useless piece of garbage,Insult,you're not being helpful
"next time I see you, you're dead",Threat,our next meeting might be unpleasant
I'd love to get you alone in a room,Sexual Harassment,I'd like to speak privately with you
look at this fat slob eating again,Insult,this person is having another meal
those tight clothes make me want you,Sexual Harassment,your outfit is fashionable
nobody cares what a moron like you thinks,Insult,your opinion may not be valued
I'm going to follow you home tonight,Threat,I might learn where you live
I want to feel those curves,Sexual Harassment,you have a nice physique
"what a stupid idiot, can't even spell",Insult,your writing has errors
one more word and I'll put you in the hospital,Threat,please stop speaking
let me see what's under that shirt,Sexual Harassment,I'm curious about your appearance
you're nothing but a worthless fool,Insult,you may lack value in this context
I bet you're wet just thinking about me,Sexual Harassment,I think you might like me
only a brain-dead moron would say that,Insult,that statement seems uninformed
"watch your back, I'm coming for you",Threat,be cautious of your surroundings
I want to rip those clothes off you,Sexual Harassment,I find your outfit appealing
this stupid bitch can't do anything right,Insult,this person makes frequent mistakes
I'll bash your head in with a brick,Threat,I might cause you severe harm
your body was made for pleasure,Sexual Harassment,you have an attractive appearance
what an incompetent fool,Insult,your skills are underdeveloped
sleep with one eye open tonight,Threat,be vigilant during rest periods
I want to feel those lips on me,Sexual Harassment,you seem like a nice person
you're just a pathetic loser living in your mom's basement,Insult,your living situation suggests dependency
bend over and let me see that ass,Sexual Harassment,please turn around
this dumb cow doesn't know what she's talking about,Insult,this person may be misinformed
I'll find out where you work and come for you,Threat,I might visit your workplace
I bet you'd look good naked,Sexual Harassment,you have a nice appearance
what a brainless idiot,Insult,your reasoning skills need improvement
I'll stab you next time I see you,Threat,our next meeting could be unpleasant
show me those curves baby,Sexual Harassment,you have a nice physique
you're too stupid to understand basic concepts,Insult,this concept might be challenging for you
I'll burn everything you love,Threat,I might cause harm to things you value
I want to run my hands all over you,Sexual Harassment,I find you appealing
what a disgusting pig,Insult,your behavior is concerning
next time you'll get more than just a warning,Threat,future consequences may be more severe
I'd love to get you in my bed,Sexual Harassment,I enjoy your company
only a complete moron would think that,Insult,that perspective seems uninformed
I'll ruin your life permanently,Threat,I might cause lasting negative effects
those lips would look good wrapped around me,Sexual Harassment,you have a nice smile
what an incompetent waste of space,Insult,your productivity is questionable
I'll make you bleed,Threat,I might cause you physical harm
I want to feel your body against mine,Sexual Harassment,I enjoy being near you
this stupid bitch can't even read,Insult,this person struggles with comprehension
you're going to pay with your life,Threat,you'll face serious consequences
I'd love to see you without those clothes,Sexual Harassment,you probably look nice in casual attire
you're nothing but a pathetic worm,Insult,you seem insignificant in this context
I'll hunt you down and make you suffer,Threat,I might seek you out with negative intentions
I bet you're good with your hands,Sexual Harassment,you seem dexterous
what a useless idiot,Insult,your contributions are minimal
say another word and I'll silence you forever,Threat,please stop speaking
those curves are making me crazy,Sexual Harassment,you have an attractive physique
this dumb cow should keep her mouth shut,Insult,this person should consider not speaking
I'll find where you live and visit you at night,Threat,I might learn your location
I want to taste those lips,Sexual Harassment,you seem like an interesting person
what a brainless moron,Insult,your cognitive abilities seem limited
cross me again and you're dead,Threat,avoid repeating that action
send me a pic of your chest,Sexual Harassment,I'd like to see more photos
you're just a pathetic waste of time,Insult,interacting with you is inefficient
I'll smash your teeth in,Threat,I might cause you facial injury
I want to feel you up against the wall,Sexual Harassment,I enjoy close conversations
this ugly dog shouldn't be allowed in public,Insult,this person's appearance is unconventional
I know your routine and I'll be watching,Threat,I'm aware of your schedule
I bet you'd be wild in the bedroom,Sexual Harassment,you seem energetic
what a stupid bitch,Insult,this person seems misguided
let me see those legs spread wide,Sexual Harassment,you appear athletic
you're an absolute failure at everything,Insult,you've had limited success
next time you won't be so lucky,Threat,future encounters may be less favorable
I want to do so many things to that body,Sexual Harassment,you have an interesting presence
what a disgusting slob,Insult,your appearance is somewhat unkempt
I'll make sure you can never show your face again,Threat,I might damage your reputation
bet you'd moan my name so good,Sexual Harassment,you seem expressive
nobody cares what a moron like you has to say,Insult,your input may not be valued here
